TN,Un Number,PSN,Class,SubClass,PG,Spec Prov,Packing Para,
,UN1386,"SEED CAKE with more than 1.5% oil and not more
than 11% moisture",4.2,,III,"P5, N7",A8.3.,
,UN2217,"SEED CAKE with not more than 1.5% oil and not more
than 11% moisture",4.2,,III,"P5, N7",A8.3.,
,,"Seed expellers, see SEED CAKE",,,,,,
*,UN2630,SELENATES or SELENITES,6.1,,I,P5,A10.5.,
,UN1905,SELENIC ACID,8,,I,"P3, N34",A12.3.,
,UN3440,"SELENIUM COMPOUND, LIQUID, N.O.S.",6.1,,"I
II III","P3
P4 P5","A10.4.
A10.4.
A10.4.",
*,UN3283,"SELENIUM COMPOUND, SOLID, N.O.S.",6.1,,"I II
III","P5 P5
P5","A10.5.
A10.5.
A10.5.",
,UN2657,SELENIUM DISULFIDE,6.1,,II,P5,A10.5.,
,UN2194,SELENIUM HEXAFLUORIDE,2.3,8,,"P1, 1",A6.15.,
,,Selenium nitride,,,,,FORBIDDEN,
,UN2879,SELENIUM OXYCHLORIDE,8,6.1,I,"P3, A7, N34",A12.2.,
,,"Self-defense spray, aerosol, see AEROSOLS, etc.",,,,,,
"+,
D",NA3334,"SELF-DEFENSE SPRAY, NON-PRESSURIZED",9,,III,"P5, A37",A13.2.,
*,UN3188,"SELF-HEATING LIQUID, CORROSIVE, INORGANIC, N.O.S.",4.2,"8
8",II III,P4 P5,"A8.2.
A8.2.",
*,UN3185,"SELF-HEATING LIQUID, CORROSIVE, ORGANIC, N.O.S.",4.2,"8
8",II III,P4 P5,"A8.2.
A8.2.",
*,UN3186,"SELF-HEATING LIQUID, INORGANIC, N.O.S.",4.2,,II III,P4 P5,"A8.2.
A8.2.",
*,UN3183,"SELF-HEATING LIQUID, ORGANIC, N.O.S.",4.2,,II III,P4 P5,"A8.2.
A8.2.",
*,UN3187,"SELF-HEATING LIQUID, TOXIC, INORGANIC,
N.O.S.",4.2,"6.1
6.1","II
III","P4
P5","A8.2.
A8.2.",
*,UN3184,"SELF-HEATING LIQUID, TOXIC, ORGANIC, N.O.S.",4.2,"6.1
6.1",II III,P4 P5,"A8.2.
A8.2.",
*,UN3192,"SELF-HEATING SOLID, CORROSIVE,
INORGANIC, N.O.S.",4.2,"8
8","II
III","P5
P5","A8.3.
A8.3.",
*,UN3126,"SELF-HEATING SOLID, CORROSIVE, ORGANIC, N.O.S.",4.2,"8
8","II
III","P5
P5","A8.3.
A8.3.",
*,UN3190,"SELF-HEATING SOLID, INORGANIC, N.O.S.",4.2,,"II
III","P5
P5","A8.3.
A8.3.",
*,UN3088,"SELF-HEATING SOLID, ORGANIC, N.O.S.",4.2,,"II
III","P5
P5","A8.3.
A8.3.",
*,UN3127,"SELF-HEATING SOLID, OXIDIZING, N.O.S.",4.2,5.1,,P3,A8.4.,
*,UN3191,"SELF-HEATING SOLID, TOXIC, INORGANIC, N.O.S.",4.2,"6.1
6.1",II III,P5 P5,"A8.3.
A8.3.",
*,UN3128,"SELF-HEATING SOLID, TOXIC, ORGANIC, N.O.S.",4.2,"6.1
6.1","II
III","P5
P5","A8.3.
A8.3.",
,,"Self-inflating passenger restraint systems (air bags) for motor vehicles, see LIFE-SAVING APPLIANCES, SELF-INFLATING or AIR BAG INFLATORS or SEAT-BELT PRETENSIONERS or AIR BAG
MODULES",,,,,,
,,"Self-propelled vehicle, see VEHICLE, FLAMMABLE
GAS POWERED or VEHICLE, FLAMMABLE
LIQUID POWERED or BATTERY-POWERED VEHICLE or BATTERY-POWERED EQUIPMENT",,,,,,
*,UN3221,SELF-REACTIVE LIQUID TYPE B,4.1,,,,FORBIDDEN,
*,UN3231,"SELF-REACTIVE LIQUID TYPE B, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3223,SELF-REACTIVE LIQUID TYPE C,4.1,,,P5,A8.7.,
*,UN3233,SELF-REACTIVE LIQUID TYPE C TEMPERATURE CONTROLLED,4.1,,,,FORBIDDEN,
*,UN3225,SELF-REACTIVE LIQUID TYPE D,4.1,,,P5,A8.7.,
*,UN3235,"SELF-REACTIVE LIQUID TYPE D, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3227,SELF-REACTIVE LIQUID TYPE E,4.1,,,P5,A8.7.,
*,UN3237,"SELF-REACTIVE LIQUID TYPE E, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3229,SELF-REACTIVE LIQUID TYPE F,4.1,,,P5,A8.7.,
*,UN3239,"SELF-REACTIVE LIQUID TYPE F,
TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
,,Self-reactive solid type B,,,,,FORBIDDEN,
,,Self-reactive solid type B temperature controlled,,,,,FORBIDDEN,
*,UN3222,SELF-REACTIVE SOLID TYPE B (see below for specific technical name),4.1,,,"P5, 53","(see     technical name below for packaging
para-graph reference)",
,,2-Diazo-1-Naphthol-4-sulphonyl chloride,,,,,A8.9.,
,,2-Diazo-1-Naphthol-5-sulphonyl chloride,,,,,A8.9.,
*,UN3232,"SELF-REACTIVE SOLID TYPE B,
TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3224,SELF-REACTIVE SOLID TYPE C (see below for specific technical name),4.1,,,P5,"(see     technical name below for packaging paragraph
reference)",
,,"2,2’-Azodi(isobutyronitrile) as a water base paste",,,,,,
,,"N,N’-dinitroso-N,N’-dimethyl-terephthalamide, as a
paste",,,,,A8.6.,
,,"N,N’-dinitrosopentamethylenetetramine",,,,,A8.7.,
*,UN3234,"SELF-REACTIVE SOLID TYPE C,
TEMPERATURE CONTROLLED(specific technical name required)",4.1,,,,FORBIDDEN,
*,UN3226,"SELF-REACTIVE SOLID TYPE D (see below for
specific technical name)",4.1,,,P5,"(see     technical
name below for packaging
paragraph reference)",
,,"1,1'-azodi-(hexahydrobenzonitrile)",,,,,A8.7.,
,,"benzene-1,3-disulphohydrazide as a paste",,,,,A8.7.,
,,benzene sulphohydrazide,,,,,A8.7.,
,,2-Diazo-1-Naphtholsulphonic acid ester mixture,,,,,,
,,"2,5-Diethoxy-4-(4morpholinyl)-benzene-diazonium
sulphate",,,,,,
,,"diphenyloxide-4,4'-disulphohydrazide",,,,,A8.6.,
,,4-dipropylaminobenzenediazonium zinc chloride,,,,,A8.8.,
,,4-Methylbenzenesulphonylhydrazide,,,,,,
,,sodium 2-diazo-1-naphthol-4-sulphonate,,,,,A8.8.,
,,sodium 2-diazo-1-naphthol-5-sulphonate,,,,,A8.8.,
*,UN3236,"SELF-REACTIVE SOLID TYPE D, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3228,"SELF-REACTIVE SOLID TYPE E, (see below for specific technical name)",4.1,,,P5,"(see     technical name below for packaging para-
graph reference)",
,,"Acetone-pyrogallol copolymer 2- diazo-1-naphthol-5-
sulphonate",,,,,A8.8.,
,,"2,5-Dibutoxy-4-(4-morpholinyl)-Benzenediazonium,
tetrachlorozincate (2:1)",,,,,,
,,"4-(Dimethylamino)-benzenediazonium trichlorozincate
(-1)",,,,,A8.8.,
*,UN3238,"SELF-REACTIVE SOLID TYPE E, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
*,UN3230,"SELF-REACTIVE SOLID TYPE F,",4.1,,,P5,A8.8.,
*,UN3240,"SELF-REACTIVE SOLID TYPE F, TEMPERATURE CONTROLLED",4.1,,,,FORBIDDEN,
,UN1288,SHALE OIL,3,,"I II
III","P3 P5
P5","A7.2.
A7.2.
A7.2.",
,,"Shaped Charges, commercial, see CHARGES,
SHAPED",,,,,,
,UN0191,"SIGNAL DEVICES, HAND",1.4G,,,"P5, A69",A5.18.,
,UN0373,"SIGNAL DEVICES, HAND",1.4S,,,"P5, A69",A5.18.,
,UN0194,"SIGNALS, DISTRESS, ship",1.1G,,,"P4, A69",A5.18.,
,UN0195,"SIGNALS, DISTRESS, ship",1.3G,,,"P4, A69",A5.18.,
,UN0505,"SIGNALS, DISTRESS ship",1.4G,,,"P5, A69",A5.18.,
,UN0506,"SIGNALS, DISTRESS ship",1.4S,,,"P5, A69",A5.18.,
,,"Signals, distress, ship, water-activated, see
CONTRIVANCES, WATER-ACTIVATED",,,,,,
,,"Signals, highway, see SIGNAL DEVICES, HAND",,,,,,
,UN0192,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.1G,,,"P4, A69",A5.18.,
,UN0492,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.3G,,,"P4, A69",A5.18.,
,UN0493,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.4G,,,"P5, A69",A5.18.,
,UN0193,"SIGNALS, RAILWAY TRACK, EXPLOSIVE",1.4S,,,"P5, A69",A5.18.,
,UN0196,"SIGNALS, SMOKE",1.1G,,,P4,A5.18.,
,UN0313,"SIGNALS, SMOKE",1.2G,,,P4,A5.18.,
,UN0487,"SIGNALS, SMOKE",1.3G,,,P4,A5.18.,
,UN0197,"SIGNALS, SMOKE",1.4G,,,P5,A5.18.,
,UN0507,"SIGNALS, SMOKE",1.4S,,,P5,A5.18,
,UN2203,SILANE,2.1,,II,P4,A6.5.,
,,"Silicofluoric acid, see FLUOROSILICIC ACID",,,,,,
,,"Silicofluorides, see FLUOROSILICATES, N.O.S.",,,,,,
,,"Silicon chloride, see SILICON TETRACHLORIDE",,,,,,
,UN1346,"SILICON POWDER, AMORPHOUS",4.1,,III,"P5, A1",A8.3.,
,UN1818,SILICON TETRACHLORIDE,8,,II,"P5, A3",A12.2.,
,UN1859,SILICON TETRAFLUORIDE,2.3,8,,"P2, 2",A6.6.,
,UN3521,"SILICON TETRAFLUORIDE, ADSORBED",2.3,8,,"P2, 2",A6.6.,
,,Silver acetylide (dry),,,,,FORBIDDEN,
,UN1683,SILVER ARSENITE,6.1,,II,P5,A10.5.,
,,Silver azide (dry),,,,,FORBIDDEN,
,,Silver chlorite (dry),,,,,FORBIDDEN,
,UN1684,SILVER CYANIDE,6.1,,II,P5,A10.5.,
,,Silver fulminate (dry),,,,,FORBIDDEN,
,UN1493,SILVER NITRATE,5.1,,II,P5,A9.6.,
,,Silver oxadate (dry),,,,,FORBIDDEN,
,,Silver picrate (dry),,,,,FORBIDDEN,
,UN1347,"SILVER PICRATE, WETTED, with not less than 30% water, by mass",4.1,,I,P3,A8.3.,
,,"Silver picrate, wetted with less than 30% water, by
weight",,,,,FORBIDDEN,
,,"Sisal, see FIBERS, SYNTHETIC, N.O.S. or FIBERS,
VEGETABLE, N.O.S. or FIBERS, ANIMAL, N.O.S.",,,,,,
,UN1906,"SLUDGE, ACID",8,,II,"P5, A3, A7,
N34",A12.2.,
D,NA3178,"SMOKELESS POWDER FOR SMALL ARMS (100
pounds or less)",4.1,,I,P4,A8.17.,
,UN1907,SODA LIME with more than 4% sodium hydroxide,8,,III,P5,A12.3.,
,UN1428,SODIUM,4.3,,I,"P3, A7, A8,
A19, A20, N34",A8.3.,
,UN2812,"SODIUM ALUMINATE, SOLID",8,,III,P5,A12.3.,
,UN1819,"SODIUM ALUMINATE, SOLUTION",8,,"II
III","P5
P5","A12.2.
A12.2.",
,UN2835,SODIUM ALUMINUM HYDRIDE,4.3,,II,"P5, A8, A19,
A20",A8.3.,
,,"Sodium amalgam, see ALKALI METAL AMALGAM, LIQUID or ALKALI, METAL
AMALGAM, SOLID",,,,,,
,,"Sodium amide, see ALKALI METAL AMIDES",,,,,,
,UN2863,SODIUM AMMONIUM VANADATE,6.1,,II,P5,A10.5.,
,UN2473,SODIUM ARSANILATE,6.1,,III,P5,A10.5.,
,UN1685,SODIUM ARSENATE,6.1,,II,P5,A10.5.,
,UN1686,"SODIUM ARSENITE, AQUEOUS SOLUTIONS",6.1,,II III,P5 P5,"A10.4.
A10.4.",
,UN2027,"SODIUM ARSENITE, SOLID",6.1,,II,P5,A10.5.,
,UN1687,SODIUM AZIDE,6.1,,II,P5,A10.5.,
,,"Sodium bifluoride, see SODIUM HYDROGENDIFLUORIDE, SOLID or SODIUM
HYDROGENDIFLUORIDE SOLUTION",,,,,,
,,"Sodium binoxide, see SODIUM PEROXIDE",,,,,,
,,"Sodium bisulfates, see BISULFATES AQUEOUS
SOLUTION",,,,,,
,,"Sodium bisulfites, solution, see BISULFITES,
AQUEOUS SOLUTIONS N.O.S",,,,,,
,UN1426,SODIUM BOROHYDRIDE,4.3,,I,"P3, N40",A8.3.,
,UN3320,"SODIUM BOROHYDRIDE AND SODIUM
HYDROXIDE SOLUTION with no more than 12% sodium borohydride and not more than 40% sodium
hydroxide by mass",8,,II III,"P5, N34 P5, N34","A12.2.
A12.2.",
,UN1494,SODIUM BROMATE,5.1,,II,P5,A9.6.,
,UN1688,SODIUM CACODYLATE,6.1,,II,P5,A10.5.,
,UN3378,SODIUM CARBONATE PEROXYHYDRATE,5.1,,"II
III","P5
P5","A9.6
A9.6",
,UN1495,SODIUM CHLORATE,5.1,,II,"P5, A9, N34",A9.6.,
,UN2428,"SODIUM CHLORATE, AQUEOUS SOLUTION",5.1,,II III,"P5, A2 P5, A2","A9.5.
A9.5.",
,,"Sodium chlorate mixed with dinitrotoluene, see
EXPLOSIVE BLASTING TYPE C",,,,,,
,UN1496,SODIUM CHLORITE,5.1,,II,"P5, A9, N34",A9.6.,
,,"Sodium chlorite solution, see CHLORITE SOLUTION",,,,,,
,UN2659,SODIUM CHLOROACETATE,6.1,,III,P5,A10.5.,
,UN2316,"SODIUM CUPROCYANIDE, SOLID",6.1,,I,P5,A10.5.,
,UN2317,"SODIUM CUPROCYANIDE, SOLUTION",6.1,,I,P3,A10.4.,
,UN1689,"SODIUM CYANIDE, SOLID",6.1,,I,"P3, N74, N75",A10.5.,
,UN3414,"SODIUM CYANIDE, SOLUTION",6.1,,"I II
III","P3, N74, N75 P4, N74, N75
P5, N74, N75","A10.4 A10.4
A10.4",
,,"Sodium 2-diazo-1-naphthol-4-sulphonate or Sodium 2-
diazo-1-naphthol-5-sulphonate, see SELF REACTIVE SOLID TYPE D",,,,,,
,,"Sodium dichloroisocyanurate or Sodium dichloro-s-
triazine-trione, see DICHLOROISOCYANURIC ACID, etc.",,,,,,
,,"Sodium dicyanocuprate (I), solid, see SODIUM
CUPROCYANIDE, SOLID",,,,,,
,,"Sodium dicyanocuprate (I), solution, see SODIUM
CUPROCYANIDE, SOLUTION",,,,,,
,,"Sodium dimethylarsenate, SODIUM CACODYLATE",,,,,,
,UN0234,"SODIUM DINITRO-O-CRESOLATE, dry or wetted,
with less than 15% water, by mass",1.3C,,,P4,A5.9.,
,UN3369,"SODIUM DINITRO-O-CRESOLATE, WETTED,
with not less than 10% water, by mass",4.1,,I,"P4, 23, A8,
A19, A20,N41",A8.3.,
,UN1348,"SODIUM DINITRO-O-CRESOLATE, WETTED,
with not less than 15% water, by mass",4.1,6.1,I,"P4, 23, A8, A19, A20,N41",A8.3.,
,UN1384,SODIUM DITHIONITE or SODIUM HYDROSULFITE,4.2,,II,"P5, A19, A20",A8.3.,
,UN1690,"SODIUM FLUORIDE, SOLID",6.1,,III,P5,A10.5.,
,UN3415,"SODIUM FLUORIDE, SOLUTION",6.1,,III,P5,A10.4,
,UN2629,SODIUM FLUOROACETATE,6.1,,I,P5,A10.5.,
,UN2674,SODIUM FLUOROSILICATE,6.1,,III,P5,A10.5.,
,,"Sodium hexafluorosilicate, see SODIUM
FLUOROSILICATE",,,,,,
,,"Sodium hydrate solid, see SODIUM HYDROXIDE,
SOLID",,,,,,
,,"Sodium hydrate solution, see SODIUM HYDROXIDE,
SOLUTION",,,,,,
,UN1427,SODIUM HYDRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,,"Sodium hydrogen 4-aminophenylarsenate, see
SODIUM ARSANILATE",,,,,,
,UN2439,SODIUM HYDROGENDIFLUORIDE,8,,II,"P5, N3, N34","A12.2., A12.3.",
,,"Sodium hydrogen sulfate solution, see BISULFATES,
AQUEOUS SOLUTION",,,,,,
,,"Sodium hydrogen sulfite solution, see BISULFITES,
AQUEOUS SOLUTION",,,,,,
,UN2318,"SODIUM HYDROSULFIDE, with less than 25%
water of crystallization",4. 2,,II,"P5, A7, A19,
A20",A8.3.,
,UN2949,"SODIUM HYDROSULFIDE, with not less than 25%
water of crystallization",8,,II,"P5, A7",A12.3.,
,UN1384,"SODIUM HYDROSULFITE or SODIUM
DITHIONITE",4.2,,II,"P5, A19, A20",A8.3.,
,UN1823,"SODIUM HYDROXIDE, SOLID",8,,II,P5,A12.3.,
,UN1824,"SODIUM HYDROXIDE, SOLUTION",8,,II III,"P5, N34 P5, N34","A12.2.
A12.2.",
,,"Sodium hypochlorite, solution, see HYPOCHLORITE SOLUTIONS, etc.",,,,,,
,,"Sodium metal, liquid alloy, see ALKALI  METAL ALLOYS, N.O.S.",,,,,,
,,"Sodium metasilicate pentahydrate, see DISODIUM
TRIOXOSILICATE",,,,,,
,UN1431,SODIUM METHYLATE,4.2,8,II,"P5, A7, A19",A8.3.,
,UN1289,SODIUM METHYLATE SOLUTIONS in alcohol,3,"8
8","II
III","P5
P5","A7.2.
A7.2.",
,UN1825,SODIUM MONOXIDE,8,,II,P5,A12.3.,
,UN1498,SODIUM NITRATE,5.1,,III,"P5, A1, A29",A9.6.,
,UN1499,SODIUM NITRATE AND POTASSIUM NITRATE MIXTURES,5.1,,III,"P5, A1, A29",A9.6.,
,UN1500,SODIUM NITRITE,5.1,6.1,III,"P5, A1, A29",A9.6.,
,,"Sodium nitrite and potassium nitrate mixture, see POTASSIUM NITRATE AND SODIUM NITRITE MIXTURE",,,,,,
,UN2567,SODIUM PENTACHLOROPHENATE,6.1,,II,P5,A10.5.,
,UN3377,SODIUM PERBORATE MONOHYDRATE,5.1,,III,"P5, A1, A29",A9.6.,
,UN1502,SODIUM PERCHLORATE,5.1,,II,P5,A9.6.,
,UN1503,SODIUM PERMANGANATE,5.1,,II,P5,A9.6.,
,UN1504,SODIUM PEROXIDE,5.1,,I,"P3, A20, N34",A9.6.,
,UN3247,"SODIUM PEROXOBORATE, ANHYDROUS",5.1,,II,P5,A9.6.,
,UN1505,SODIUM PERSULFATE,5.1,,III,"P5, A1",A9.6.,
,,"Sodium phenolate, solid, see PHENOLATES, SOLID",,,,,,
,UN1432,SODIUM PHOSPHIDE,4.3,6.1,I,"P3, A19, N40",A8.3.,
,UN0235,"SODIUM PICRAMATE, dry or wetted, with less than
20% water, by mass",1.3C,,,P3,A5.9.,
,UN1349,"SODIUM PICRAMATE, WETTED, with not less
than 20% water, by mass",4.1,,I,"P4, 23, A8,
A19, N41",A8.3.,
,,Sodium picryl peroxide,,,,,FORBIDDEN,
,,"Sodium potassium alloys, see POTASSIUM SODIUM
ALLOYS",,,,,,
,,"Sodium selenate or selenite, see SELENATES or
SELENITES",,,,,,
,,"Sodium silicofluoride, see SODIUM
FLUOROSILICATE",,,,,,
,,"Sodium sulfate acid solution, see BISULFATES, AQUEOUS SOLUTION",,,,,,
,UN1385,"SODIUM SULFIDE, ANHYDROUS or SODIUM
SULFIDE with less than 30% water of crystallization",4.2,,II,"P5, A19, A20, N34",A8.3.,
,UN1849,"SODIUM SULFIDE, HYDRATED with not less than 30% water",8,,II,P5,A12.3.,
,UN2547,SODIUM SUPEROXIDE,5.1,,I,"P5, A20, N34",A9.6.,
,,Sodium tetranitride,,,,,FORBIDDEN,
*,UN3244,"SOLIDS CONTAINING CORROSIVE LIQUID,
N.O.S.",8,,II,"P5, 49",A12.3.,
*,UN3175,"SOLIDS CONTAINING FLAMMABLE LIQUID,
N.O.S.",4.1,,II,"P5, 47",A8.3.,
,,"Solvents, flammable, N.O.S., see FLAMMABLE LIQUID, N.O.S.",,,,,,
,,"Solvents, flammable, toxic, N.O.S., see FLAMMABLE LIQUID, TOXIC, N.O.S.",,,,,,
*,UN3243,"SOLIDS CONTAINING TOXIC LIQUID, N.O.S.",6.1,,II,"P5, 48",A10.5.,
,UN0374,"SOUNDING DEVICES, EXPLOSIVE",1.1D,,,P4,A5.17.,
,UN0296,"SOUNDING DEVICES, EXPLOSIVE",1.1F,,,P4,A5.17.,
,UN0375,"SOUNDING DEVICES, EXPLOSIVE",1.2D,,,P4,A5.17.,
,UN0204,"SOUNDING DEVICES, EXPLOSIVE",1.2F,,,P4,A5.17.,
,,"Spirits of salts, see HYDROCHLORIC ACID",,,,,,
,,"Squibs, see IGNITERS",,,,,,
,,"Stain, see PAINT",,,,,,
,UN1827,"STANNIC CHLORIDE, ANHYDROUS",8,,II,P5,A12.2.,
,UN2440,"STANNIC CHLORIDE, PENTAHYDRATE",8,,III,P5,A12.3.,
,UN1433,STANNIC PHOSPHIDE,4.3,6.1,I,"P3, A19, N40",A8.3.,
,,"Steel swarf, see FERROUS METAL SHAVINGS or FERROUS METAL TURNINGS or FERROUS METAL CUTTINGS or FERROUS METAL
BORINGS",,,,,,
,UN2676,STIBINE,2.3,2.1,,"P1, 1",A6.15.,
,,"Storage batteries, wet, see BATTERIES, wet, etc.",,,,,,
,,"Strontium alloy, see ALKALINE EARTH METAL
ALLOY, N.O.S.",,,,,,
,,"Strontium alloy, pyrophoric, see PYROPHORIC
METAL, N.O.S. or PYROPHORIC ALLOY, N.O.S.",,,,,,
,UN1691,STRONTIUM ARSENITE,6.1,,II,P5,A10.5.,
,UN1506,STRONTIUM CHLORATE,5.1,,II,"P5, A1, A9, N34",A9.6.,
,,"Strontium dioxide, see STROTIUM PEROXIDE",,,,,,
,UN1507,STRONTIUM NITRATE,5.1,,III,"P5, A1, A29",A9.6.,
,UN1508,STRONTIUM PERCHLORATE,5.1,,II,P5,A9.6.,
,UN1509,STRONTIUM PEROXIDE,5.1,,II,P5,A9.6.,
,UN2013,STRONTIUM PHOSPHIDE,4.3,6.1,I,"P3, A19, N40",A8.3.,
,UN1692,STRYCHNINE or STRYCHNINE SALTS,6.1,,I,P5,A10.5.,
,UN0219,"STYPHNIC ACID or TRINITRORESORCINOL dry
or wetted with no more than 20% water, or mixture of alcohol and water, by weight",1.1D,,II,P4,A5.6.,
,UN0394,"STYPHNIC ACID, WETTED with more than 20%
water, or mixture of alcohol and water, by weight",1.1D,,II,P4,A5.6.,
,UN2055,"STYRENE MONOMER, STABILIZED",3,,III,"P5, 387",A7.2.,
,,"Styrene monomer, unstabilized",,,,,FORBIDDEN,
*,UN0482,"SUBSTANCES EVI, N.O.S. or SUBSTANCES,
EXPLOSIVE, VERY INSENSITIVE, N.O.S.",1.5D,,II,P5,A5.3.,
*,UN0473,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.1A,,,"P3, 111",A5.3.,
*,UN0474,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.1C,,,P4,A5.3.,
*,UN0475,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.1D,,,P4,A5.3.,
*,UN0476,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.1G,,,P4,A5.3.,
*,UN0357,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.1L,,,P3,A5.3.,
*,UN0358,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.2L,,,P3,A5.3.,
*,UN0477,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.3C,,,P4,A5.3.,
*,UN0478,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.3G,,,P4,A5.3.,
*,UN0359,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.3L,,,P3,A5.3.,
*,UN0479,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.4C,,,P5,A5.3.,
*,UN0480,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.4D,,,P5,A5.3.,
*,UN0485,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.4G,,,P5,A5.3.,
*,UN0481,"SUBSTANCES, EXPLOSIVE, N.O.S.",1.4S,,,"P5, 347, A69",A5.3.,
*,UN0482,"SUBSTANCES, EXPLOSIVE, VERY INSENSITIVE, N.O.S. or SUBSTANCES EVI,
N.O.S.",1.5D,,,P5,A5.3.,
,,"Substances liable to spontaneous combustion, N.O.S.,
see PYROPHORIC LIQUID, ORGANIC, N.O.S. or PYROPHORIC SOLID, ORGANIC, N.O.S. or SELF-HEATING SOLID, ORGANIC, N.O.S. or HYDROGEN PEROXIDE AND PEROXYACETIC ACID MIXTURE STABILIZED or SELF- HEATING LIQUID, ORGANIC, N.O.S. or SELF- HEATING LIQUID, INORGANIC, N.O.S. or PYROPHORIC LIQUID INORGANIC, N.O.S. or PYROPHORIC LIQUID INORGANIC, SOLID,
N.O.S.",,,,,,
,,"Substances which in contact with water emit flammable gases, see WATER-REACTIVE SOLID, N.O.S. or WATER-REACTIVE LIQUID, CORROSIVE,
N.O.S. or WATER-REACTIVE LIQUID, TOXIC,
N.O.S. or WATER-REACTIVE SOLID, CORROSIVE, N.O.S. or WATER-REACTIVE SOLID, FLAMMABLE, N.O.S. or WATER- REACTIVE SOLID, OXIDIZING, N.O.S. or WATER-REACTIVE SOLID, TOXIC, N.O.S. or
WATER-REACTIVE SOLID, SELF-HEATING,
N.O.S. or WATER-REACTIVE LIQUID, N.O.S.",,,,,,
*,UN2780,"SUBSTITUTED NITROPHENOL PESTICIDES,
LIQUID, FLAMMABLE, TOXIC flashpoint less than 23 degrees C",3,"6.1
6.1",I II,P3 P4,"A7.2.
A7.2.",
*,UN3014,"SUBSTITUTED NITROPHENOL PESTICIDES, LIQUID, TOXIC",6.1,,I II III,P3 P4 P5,"A10.4.
A10.4.
A10.4.",
*,UN3013,"SUBSTITUTED NITROPHENOL PESTICIDES,
LIQUID, TOXIC, FLAMMABLE flashpoint not less
than 23 degrees C",6.1,"3
3
3","I II
III","P3 P4
P5","A10.4.
A10.4.
A10.4.",
*,UN2779,"SUBSTITUTED NITROPHENOL PESTICIDES, SOLID, TOXIC",6.1,,"I II
III","P5 P5
P5","A10.5.
A10.5.
A10.5.",
,,Sucrose octanitrate (dry),,,,,FORBIDDEN,
,UN2967,SULPHAMIC ACID,8,,III,P5,A12.3.,
D,NA1350,SULFUR,9,,III,P5,A13.2.,
,UN1350,SULFUR,4.1,,III,"P5, 30",A8.3.,
,,"Sulfur and chlorate, loose mixtures of",,,,,FORBIDDEN,
,UN1828,SULFUR CHLORIDES,8,,I,"P2, 5, A7,
A10, N34",A12.2.,
,,"Sulfur dichloride, see SULFUR CHLORIDES",,,,,,
,UN1079,SULFUR DIOXIDE,2.3,8,,"P2, 3",A6.4.,
,,"Sulfur dioxide solution, see SULFURUS ACID",,,,,,
,,"Sulfuretted hydrogen, see HYDROGEN SULFIDE",,,,,,
,UN1080,SULFUR HEXAFLUORIDE,2.2,,,P5,"A6.3., A6.4.",
D,NA2448,"SULFUR, MOLTEN",9,,,,FORBIDDEN,
,UN2448,"SULFUR, MOLTEN",4.1,,,,FORBIDDEN,
,UN2418,SULFUR TETRAFLUORIDE,2.3,8,,"P1, 1",A6.15.,
+,UN1829,"SULFUR TRIOXIDE, STABILIZED",8,6.1,I,"P2, 2, 387, N34",A12.11.,
,,"Sulfur trioxide, unstabilized",,,,,FORBIDDEN,
,,"Sulfuretted hydrogen, see HYDROGEN SULFIDE",,,,,,
,UN1830,SULFURIC ACID with more than 51% acid,8,,II,"P4, A3, A7,
N34",A12.2.,
,UN2796,"SULFURIC ACID, not more than 51% acid",8,,II,"P5, A3, A7 N6, N34",A12.2.,
,,"Sulfuric and hydrofluoric acid mixture, see
HYDROFLURIC AND SULFURIC ACID MIXTURES",,,,,,
,,"Sulfuric anhydride, see SULFUR TRIOXIDE, STABILIZED",,,,,,
+,UN1831,"SULFURIC ACID, FUMING with less than 30% free sulfur trioxide",8,,I,"P3, A7, N34",A12.2.,
,UN1831,"SULFURIC ACID, FUMING with 30% or more free sulfur trioxide",8,6.1,,,FORBIDDEN,
,UN1832,"SULFURIC ACID, SPENT",8,,II,"P4, A3, A7, N34",A12.2.,
